id,prediction
24976,0.821308137
24977,0.595430254
24978,0.897827331
24979,2.094182747
24980,2.230526438
24981,1.481528786
24982,1.008248621
24983,0.686543963
24984,0.634696641
24985,0.719182458
24986,0.997473531
24987,3.036104493
24988,0.892185035
24989,0.918360411
24990,0.429902309
24991,0.972975331
24992,0.164385236
24993,0.735999915
24994,0.565532158
24995,1.268755456
24996,0.922489203
24997,1.966548527
24998,1.54117223
24999,1.051861754
25000,1.078562692
25001,1.191045825
25002,4.566615154
25003,2.428363305
25004,1.291147083
25005,1.252132686
25006,1.942877424
25007,1.613750606
25008,1.047663592
25009,2.663922684
25010,0.2675062
25011,2.485770966
25012,6.381380947
25013,1.161441919
25014,0.916163789
25015,1.986109594
25016,0.715277563
25017,1.964934666
25018,1.078722493
25019,1.828289497
25020,0.087132582
25021,1.011152304
25022,10.36218793
25023,0.891801669
25024,0.916496064
25025,1.010382782
25026,1.021600584
25027,3.288938999
25028,1.051963025
25029,0.900518795
25030,0.736837827
25031,0.912884706
25032,0.441423023
25033,0.738434551
25034,2.568058174
25035,2.864909835
25036,0.651950622
25037,2.081731817
25038,4.213486383
25039,1.124643682
25040,1.356673027
25041,1.233450334
25042,0.722560952
25043,1.286553916
25044,0.894978061
25045,0.044009359
25046,0.219361017
25047,2.928940213
25048,0.42582229
25049,1.294071479
25050,0.118515401
25051,0.560531837
25052,0.576752336
25053,1.380856629
25054,2.449815939
25055,0.407750868
25056,0.661172946
25057,1.015654934
25058,1.784082031
25059,0.662139223
25060,1.275564419
25061,1.736501806
25062,1.603076495
25063,0.374357158
25064,1.124554372
25065,0.390230701
25066,1.265099578
25067,2.767860602
25068,1.072128875
25069,0.718037318
25070,1.094923628
25071,0.490128862
25072,1.22741494
25073,2.085774816
25074,0.121269353
25075,1.923595824
25076,1.035822531
25077,1.474254888
25078,0.362233666
25079,0.713273884
25080,0.286424225
25081,0.280544085
25082,0.288566606
25083,3.453935716
25084,0.948006789
25085,0.947089148
25086,0.88840421
25087,2.017883782
25088,0.73164937
25089,1.04969386
25090,1.188873278
25091,0.169895375
25092,0.543627346
25093,0.393508438
25094,1.368269238
25095,2.580694398
25096,0.768664993
25097,3.208987562
25098,1.064365214
25099,1.095145683
25100,0.612090996
25101,0.429473264
25102,0.40243356
25103,1.92539769
25104,1.887722161
25105,0.973182403
25106,2.621413895
25107,0.743549244
25108,0.57285107
25109,0.534221432
25110,0.645051698
25111,1.660278368
25112,0.156442372
25113,0.194268601
25114,0.322481424
25115,1.066121944
25116,1.676582017
25117,1.238813133
25118,0.265555173
25119,0.337593983
25120,0.881641853
25121,5.083603269
25122,2.551775234
25123,1.733277993
25124,0.488722008
25125,1.83570387
25126,0.780696405
